entity_id,entity_type,canonical_name,original_name,source_doc_id,method,confidence,evidence
CoQuan:3d5ffab80c93014a,CoQuan,Bộ Tài chính,Bộ Tài chính,112924,metadata,0.95,Bộ Tài chính
CoQuan:3d5ffab80c93014a,CoQuan,Bộ Tài chính,Bộ Tài chính,143217,metadata,0.95,Bộ Tài chính
CoQuan:3d5ffab80c93014a,CoQuan,Bộ Tài chính,Bộ Tài chính,150974,metadata,0.95,Bộ Tài chính
CoQuan:3d5ffab80c93014a,CoQuan,Bộ Tài chính,Bộ Tài chính,30402,metadata,0.95,Bộ Tài chính
CoQuan:3d5ffab80c93014a,CoQuan,Bộ Tài chính,Bộ Tài chính,f69936f0-6937-11f1-a48d-29bc6b0fd706,metadata,0.95,Bộ Tài chính
CoQuan:f74df40699e54ade,CoQuan,Chính phủ,Chính phủ,112025,metadata,0.95,Chính phủ
CoQuan:f74df40699e54ade,CoQuan,Chính phủ,Chính phủ,133858,metadata,0.95,Chính phủ
CoQuan:f74df40699e54ade,CoQuan,Chính phủ,Chính phủ,146468,metadata,0.95,Chính phủ
CoQuan:f74df40699e54ade,CoQuan,Chính phủ,Chính phủ,163441,metadata,0.95,Chính phủ
CoQuan:f74df40699e54ade,CoQuan,Chính phủ,Chính phủ,95652,metadata,0.95,Chính phủ
CoQuan:523005cda5d223f5,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,117310,metadata,0.95,Ngân hàng Nhà nước Việt Nam
CoQuan:523005cda5d223f5,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,164719,metadata,0.95,Ngân hàng Nhà nước Việt Nam
CoQuan:523005cda5d223f5,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,168220,metadata,0.95,Ngân hàng Nhà nước Việt Nam
CoQuan:523005cda5d223f5,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,168859,metadata,0.95,Ngân hàng Nhà nước Việt Nam
CoQuan:523005cda5d223f5,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,169221,metadata,0.95,Ngân hàng Nhà nước Việt Nam
CoQuan:523005cda5d223f5,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,173460,metadata,0.95,Ngân hàng Nhà nước Việt Nam
CoQuan:523005cda5d223f5,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,173695,metadata,0.95,Ngân hàng Nhà nước Việt Nam
CoQuan:523005cda5d223f5,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,174218,metadata,0.95,Ngân hàng Nhà nước Việt Nam
CoQuan:523005cda5d223f5,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,177271,metadata,0.95,Ngân hàng Nhà nước Việt Nam
CoQuan:523005cda5d223f5,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,185630,metadata,0.95,Ngân hàng Nhà nước Việt Nam
CoQuan:523005cda5d223f5,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,186482,metadata,0.95,Ngân hàng Nhà nước Việt Nam
CoQuan:523005cda5d223f5,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,186888,metadata,0.95,Ngân hàng Nhà nước Việt Nam
CoQuan:523005cda5d223f5,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,27257,metadata,0.95,Ngân hàng Nhà nước Việt Nam
CoQuan:523005cda5d223f5,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,38128,metadata,0.95,Ngân hàng Nhà nước Việt Nam
CoQuan:523005cda5d223f5,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,44209,metadata,0.95,Ngân hàng Nhà nước Việt Nam
CoQuan:523005cda5d223f5,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,metadata,0.95,Ngân hàng Nhà nước Việt Nam
CoQuan:38ee553f44366c90,CoQuan,Quốc hội,Quốc hội,166170,metadata,0.95,Quốc hội
CoQuan:38ee553f44366c90,CoQuan,Quốc hội,Quốc hội,166269,metadata,0.95,Quốc hội
CoQuan:38ee553f44366c90,CoQuan,Quốc hội,Quốc hội,25692,metadata,0.95,Quốc hội
CoQuan:38ee553f44366c90,CoQuan,Quốc hội,Quốc hội,26750,metadata,0.95,Quốc hội
DoiTuongApDung:e41d0a238c6b8cac,DoiTuongApDung,"Bên mua bảo hiểm, người được bảo hiểm, người thụ hưởng","Bên mua bảo hiểm, người được bảo hiểm, người thụ hưởng",163441,gemini,0.95,"Bên mua bảo hiểm, người được bảo hiểm, người thụ hưởng"
