source,target,target_type,relationship_type,method,confidence,evidence
112025,DoiTuongApDung:00c09eeee4f60e78,DoiTuongApDung,AP_DUNG_CHO,gemini,1.0,"c) Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm;"
112025,DoiTuongApDung:2ee71e567d243604,DoiTuongApDung,AP_DUNG_CHO,gemini,1.0,"c) Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm;"
112025,DoiTuongApDung:520900a3767bc982,DoiTuongApDung,AP_DUNG_CHO,gemini,1.0,"d) Các tổ chức, cá nhân khác có liên quan."
112025,DoiTuongApDung:dc5aeab433827697,DoiTuongApDung,AP_DUNG_CHO,gemini,1.0,b) Chi nhánh nước ngoài;
133858,DoiTuongApDung:00ca6b38ef91ad2c,DoiTuongApDung,AP_DUNG_CHO,gemini,1.0,"đ) Các tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán nội bộ."
133858,DoiTuongApDung:05b8e2eb8c60f9d7,DoiTuongApDung,AP_DUNG_CHO,gemini,1.0,"a) Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ;"
133858,DoiTuongApDung:3cbb0cf434c6a6b2,DoiTuongApDung,AP_DUNG_CHO,gemini,1.0,d) Các doanh nghiệp;
133858,DoiTuongApDung:52fbbcfd659c7f90,DoiTuongApDung,AP_DUNG_CHO,gemini,1.0,"b) Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương;"
133858,DoiTuongApDung:fc037d7d50633b4d,DoiTuongApDung,AP_DUNG_CHO,gemini,1.0,c) Các đơn vị sự nghiệp công lập;
146468,DoiTuongApDung:09bf9ddb86c03b7e,DoiTuongApDung,AP_DUNG_CHO,gemini,1.0,"Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài (sau đây gọi chung là tổ chức, cá nhân) thực hiện hành vi vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán quy định tại Nghị định này."
